user,text,created_at
dinar_ken88,"GANJAR BANGUN 2.352 DESA MANDIRI ENERGI.
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia… https://t.co/IbJI4BopE8",2022-11-30 01:20:00+00:00
caca_hamrun,"GANJAR BANGUN 2.352 DESA MANDIRI ENERGI, JATENG JADI CONTOH EBT NASIOAL

#ganjarpranowo
#ganjar_pranowo
#ganjarkita… https://t.co/rUDEtkMI7d",2022-11-30 01:20:00+00:00
Amanda_Lars,"ganjar jadikan jateng contoh EBT nasional
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia… https://t.co/ufRBiu0WoS",2022-11-30 01:20:00+00:00
diyah_purn,"Ganjar Bangun 2.352 Desa Mandiri Energi, Jateng Jadi Contoh EBT Nasional
#ganjarpranowo
#ganjar_pranowo
#ganjarkita… https://t.co/0i8XOebMdk",2022-11-30 01:20:00+00:00
wiwis4253,"Ganjar Bangun 2.352 Desa Mandiri Energi. Jateng Jadi Contoh Internasional
#ganjarpranowo
#ganjar_pranowo… https://t.co/UQ3L2o61rr",2022-11-30 01:20:00+00:00
fatm_wat,"Ganjar Bangun 2.352 Desa Mandiri Energi
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia… https://t.co/owAfNOZIcl",2022-11-30 01:20:00+00:00
FitriSelfi5,"Ganjar Bangun 2.352 Desa Mandiri Energi, Jateng Jadi Contoh EBT Nasional

#ganjarpranowo
#ganjar_pranowo… https://t.co/cp7IrMjPq3",2022-11-30 01:20:00+00:00
azizah53250312,"GANJAR BANGUN 2.352 DESA MANDIRI ENERGI.
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia… https://t.co/I0e4VWz2vW",2022-11-30 01:20:00+00:00
astipatrika,"Ganjar bangun 2.352 desa mandiri energi.

#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia… https://t.co/SdZysAu4Mw",2022-11-30 01:20:00+00:00
EkoPurwanto001,RT @giginpraginanto: Baru meghadapi mafia level Klaten aja gak berkutik apalagi yang di pusat kekuasaan. Jangan-jangan malah jadi antek. ht…,2022-11-30 01:19:58+00:00
81_adi,"RT @Reesty_Cayah: Gw kira loe masih hormat pada prisideen nul . Gk taunya sejak loe jadi buzzet ganjar si jokoei  loe sebut  JOKODOK .

Sad…",2022-11-30 01:19:41+00:00
dewagedepermana,"RT @nusantara_one: NKRI membutuhkan Mahfud MD untuk menghukum mati para koruptor.

@mohmahfudmd juga seorang ulama nasionalis yang menentan…",2022-11-30 01:19:40+00:00
arsyakindo100,"buat pak Ganjar jangan GR, menurut jokowi pada kutipan radio Elshinta tadi pagi, bahwa yang berkerut di dahinya dan… https://t.co/5Xqn3URpOE",2022-11-30 01:19:22+00:00
TaruziArip,"@Dennysiregar7 2024 saya pengen liat Tweet lu yg bunyinya sam kek gini, beda kalimat aja 
""Ahh ganjar kalah""",2022-11-30 01:19:06+00:00
81_adi,"RT @BangEdiii: gw kira ada apaan kok #jokodok trending, ternyata mas @ChusnulCh__ ngatain kepala negara jokodok.. ga sopan amat nih buzzer…",2022-11-30 01:18:48+00:00
